,National №,Type,Species,Height,Weight,Abilities,Local №
Simisear,514,Fire,Ember Pokémon,1.0 m (3′03″),28.0 kg (61.7 lbs),Gluttony Blaze,020  040  032 
Panpour,515,Water,Spray Pokémon,0.6 m (2′00″),13.5 kg (29.8 lbs),Gluttony Torrent,021  041  033 
Simipour,516,Water,Geyser Pokémon,1.0 m (3′03″),29.0 kg (63.9 lbs),Gluttony Torrent,022  042  034 
Munna,517,Psychic,Dream Eater Pokémon,0.6 m (2′00″),23.3 kg (51.4 lbs),Forewarn Synchronize Telepathy,023  086  090 
Musharna,518,Psychic,Drowsing Pokémon,1.1 m (3′07″),60.5 kg (133.4 lbs),Forewarn Synchronize Telepathy,024  087  091 
Pidove,519,Normal Flying,Tiny Pigeon Pokémon,0.3 m (1′00″),2.1 kg (4.6 lbs),Big Pecks Super Luck Rivalry,025  014  026 
Tranquill,520,Normal Flying,Wild Pigeon Pokémon,0.6 m (2′00″),15.0 kg (33.1 lbs),Big Pecks Super Luck Rivalry,026  015  027 
Unfezant,521,Normal Flying,Proud Pokémon,1.2 m (3′11″),29.0 kg (63.9 lbs),Big Pecks Super Luck Rivalry,027  016  028 
Blitzle,522,Electric,Electrified Pokémon,0.8 m (2′07″),29.8 kg (65.7 lbs),Lightning Rod Motor Drive Sap Sipper,028  147 
Zebstrika,523,Electric,Thunderbolt Pokémon,1.6 m (5′03″),79.5 kg (175.3 lbs),Lightning Rod Motor Drive Sap Sipper,029  148 
Roggenrola,524,Rock,Mantle Pokémon,0.4 m (1′04″),18.0 kg (39.7 lbs),Sturdy Weak Armor Sand Force,030  068  120  098  120  168 
Boldore,525,Rock,Ore Pokémon,0.9 m (2′11″),102.0 kg (224.9 lbs),Sturdy Weak Armor Sand Force,031  069  121  099  121  169 
Gigalith,526,Rock,Compressed Pokémon,1.7 m (5′07″),260.0 kg (573.2 lbs),Sturdy Sand Stream Sand Force,032  070  122  100  122  170 
Woobat,527,Psychic Flying,Bat Pokémon,0.4 m (1′04″),2.1 kg (4.6 lbs),Unaware Klutz Simple,033  066  055  174 
Swoobat,528,Psychic Flying,Courting Pokémon,0.9 m (2′11″),10.5 kg (23.1 lbs),Unaware Klutz Simple,034  067  056  175 
Drilbur,529,Ground,Mole Pokémon,0.3 m (1′00″),8.5 kg (18.7 lbs),Sand Rush Sand Force Mold Breaker,035  076  166 
Excadrill,530,Ground Steel,Subterrene Pokémon,0.7 m (2′04″),40.4 kg (89.1 lbs),Sand Rush Sand Force Mold Breaker,036  077  167 
Audino,531,Normal,Hearing Pokémon,1.1 m (3′07″) 1.5 m (4′11″),31.0 kg (68.3 lbs) 32.0 kg (70.5 lbs),Healer Regenerator Klutz Healer,037  036  123  037  036  123 
Timburr,532,Fighting,Muscular Pokémon,0.6 m (2′00″),12.5 kg (27.6 lbs),Guts Sheer Force Iron Fist,038  073  093  171 
Gurdurr,533,Fighting,Muscular Pokémon,1.2 m (3′11″),40.0 kg (88.2 lbs),Guts Sheer Force Iron Fist,039  074  094  172 
Conkeldurr,534,Fighting,Muscular Pokémon,1.4 m (4′07″),87.0 kg (191.8 lbs),Guts Sheer Force Iron Fist,040  075  095  173 
Tympole,535,Water,Tadpole Pokémon,0.5 m (1′08″),4.5 kg (9.9 lbs),Swift Swim Hydration Water Absorb,041  228  132 
Palpitoad,536,Water Ground,Vibration Pokémon,0.8 m (2′07″),17.0 kg (37.5 lbs),Swift Swim Hydration Water Absorb,042  229  133 
Seismitoad,537,Water Ground,Vibration Pokémon,1.5 m (4′11″),62.0 kg (136.7 lbs),Swift Swim Poison Touch Water Absorb,043  230  134 
Throh,538,Fighting,Judo Pokémon,1.3 m (4′03″),55.5 kg (122.4 lbs),Guts Inner Focus Mold Breaker,044  267  097  248 
Sawk,539,Fighting,Karate Pokémon,1.4 m (4′07″),51.0 kg (112.4 lbs),Sturdy Inner Focus Mold Breaker,045  268  098  249 
Sewaddle,540,Bug Grass,Sewing Pokémon,0.3 m (1′00″),2.5 kg (5.5 lbs),Swarm Chlorophyll Overcoat,046  017 
Swadloon,541,Bug Grass,Leaf-Wrapped Pokémon,0.5 m (1′08″),7.3 kg (16.1 lbs),Leaf Guard Chlorophyll Overcoat,047  018 
Leavanny,542,Bug Grass,Nurturing Pokémon,1.2 m (3′11″),20.5 kg (45.2 lbs),Swarm Chlorophyll Overcoat,048  019 
Venipede,543,Bug Poison,Centipede Pokémon,0.4 m (1′04″),5.3 kg (11.7 lbs),Poison Point Swarm Speed Boost,049  043  120 
Whirlipede,544,Bug Poison,Curlipede Pokémon,1.2 m (3′11″),58.5 kg (129.0 lbs),Poison Point Swarm Speed Boost,050  044  121 
Scolipede,545,Bug Poison,Megapede Pokémon,2.5 m (8′02″),200.5 kg (442.0 lbs),Poison Point Swarm Speed Boost,051  045  122 
Cottonee,546,Grass Fairy,Cotton Puff Pokémon,0.3 m (1′00″),0.6 kg (1.3 lbs),Prankster Infiltrator Chlorophyll,052  082  087  105  262 
Whimsicott,547,Grass Fairy,Windveiled Pokémon,0.7 m (2′04″),6.6 kg (14.6 lbs),Prankster Infiltrator Chlorophyll,053  083  088  106  263 
Petilil,548,Grass,Bulb Pokémon,0.5 m (1′08″),6.6 kg (14.6 lbs),Chlorophyll Own Tempo Leaf Guard,054  084  085  103 
Lilligant,549,Grass,Flowering Pokémon,1.1 m (3′07″),16.3 kg (35.9 lbs),Chlorophyll Own Tempo Leaf Guard,055  085  086  104 
Basculin,550,Water,Hostile Pokémon,1.0 m (3′03″),18.0 kg (39.7 lbs),Reckless Adaptability Mold Breaker Rock Head Adaptability Mold Breaker,056  104  060  188  154  056  104  060  188  154 
Sandile,551,Ground Dark,Desert Croc Pokémon,0.7 m (2′04″),15.2 kg (33.5 lbs),Intimidate Moxie Anger Point,057  099  043  232  301 
Krokorok,552,Ground Dark,Desert Croc Pokémon,1.0 m (3′03″),33.4 kg (73.6 lbs),Intimidate Moxie Anger Point,058  100  044  233  302 
Krookodile,553,Ground Dark,Intimidation Pokémon,1.5 m (4′11″),96.3 kg (212.3 lbs),Intimidate Moxie Anger Point,059  101  045  234  303 
Darumaka,554,Fire Ice,Zen Charm Pokémon,0.6 m (2′00″) 0.7 m (2′04″),37.5 kg (82.7 lbs) 40.0 kg (88.2 lbs),Hustle Inner Focus Hustle Inner Focus,060  102  367  060  102  367 
Darmanitan,555,Fire,Blazing Pokémon,1.3 m (4′03″),92.9 kg (204.8 lbs),Sheer Force Zen Mode Zen Mode Gorilla Tactics Zen Mode,061  103  368  061  103  368  061  103  368  061  103  368 
Maractus,556,Grass,Cactus Pokémon,1.0 m (3′03″),28.0 kg (61.7 lbs),Water Absorb Chlorophyll Storm Drain,062  119  296 
Dwebble,557,Bug Rock,Rock Inn Pokémon,0.3 m (1′00″),14.5 kg (32.0 lbs),Sturdy Shell Armor Weak Armor,063  115  023  086 
Crustle,558,Bug Rock,Stone Home Pokémon,1.4 m (4′07″),200.0 kg (440.9 lbs),Sturdy Shell Armor Weak Armor,064  116  024  087 
Scraggy,559,Dark Fighting,Shedding Pokémon,0.6 m (2′00″),11.8 kg (26.0 lbs),Shed Skin Moxie Intimidate,065  117  100  335  224 
Scrafty,560,Dark Fighting,Hoodlum Pokémon,1.1 m (3′07″),30.0 kg (66.1 lbs),Shed Skin Moxie Intimidate,066  118  101  336  225 
Sigilyph,561,Psychic Flying,Avianoid Pokémon,1.4 m (4′07″),14.0 kg (30.9 lbs),Wonder Skin Magic Guard Tinted Lens,067  120  090  297 
Yamask,562,Ghost Ground Ghost,Spirit Pokémon,0.5 m (1′08″),1.5 kg (3.3 lbs),Mummy Wandering Spirit,068  124  327  068  124  327 
Cofagrigus,563,Ghost,Coffin Pokémon,1.7 m (5′07″),76.5 kg (168.7 lbs),Mummy,069  125  329 
Tirtouga,564,Water Rock,Prototurtle Pokémon,0.7 m (2′04″),16.5 kg (36.4 lbs),Solid Rock Sturdy Swift Swim,070  126  194  241 
Carracosta,565,Water Rock,Prototurtle Pokémon,1.2 m (3′11″),81.0 kg (178.6 lbs),Solid Rock Sturdy Swift Swim,071  127  195  242 
Archen,566,Rock Flying,First Bird Pokémon,0.5 m (1′08″),9.5 kg (20.9 lbs),Defeatist,072  128  192  239 
Archeops,567,Rock Flying,First Bird Pokémon,1.4 m (4′07″),32.0 kg (70.5 lbs),Defeatist,073  129  193  240 
Trubbish,568,Poison,Trash Bag Pokémon,0.6 m (2′00″),31.0 kg (68.3 lbs),Stench Sticky Hold Aftermath,074  105  074  206  264  157 
Garbodor,569,Poison,Trash Heap Pokémon,1.9 m (6′03″),107.3 kg (236.6 lbs),Stench Weak Armor Aftermath,075  106  075  207  265  158 
Zorua,570,Dark,Tricky Fox Pokémon,0.7 m (2′04″),12.5 kg (27.6 lbs),Illusion,076  151  124  028 
Zoroark,571,Dark,Illusion Fox Pokémon,1.6 m (5′03″),81.1 kg (178.8 lbs),Illusion,077  152  125  029 
Minccino,572,Normal,Chinchilla Pokémon,0.4 m (1′04″),5.8 kg (12.8 lbs),Cute Charm Technician Skill Link,078  107  266  050 
Cinccino,573,Normal,Scarf Pokémon,0.5 m (1′08″),7.5 kg (16.5 lbs),Cute Charm Technician Skill Link,079  108  267  051 
Gothita,574,Psychic,Fixation Pokémon,0.4 m (1′04″),5.8 kg (12.8 lbs),Frisk Competitive Shadow Tag,080  136  126  267 
Gothorita,575,Psychic,Manipulate Pokémon,0.7 m (2′04″),18.0 kg (39.7 lbs),Frisk Competitive Shadow Tag,081  137  127  268 
Gothitelle,576,Psychic,Astral Body Pokémon,1.5 m (4′11″),44.0 kg (97.0 lbs),Frisk Competitive Shadow Tag,082  138  128  269 
Solosis,577,Psychic,Cell Pokémon,0.3 m (1′00″),1.0 kg (2.2 lbs),Overcoat Magic Guard Regenerator,083  139  115  270 
Duosion,578,Psychic,Mitosis Pokémon,0.6 m (2′00″),8.0 kg (17.6 lbs),Overcoat Magic Guard Regenerator,084  140  116  271 
Reuniclus,579,Psychic,Multiplying Pokémon,1.0 m (3′03″),20.1 kg (44.3 lbs),Overcoat Magic Guard Regenerator,085  141  117  272 
Ducklett,580,Water Flying,Water Bird Pokémon,0.5 m (1′08″),5.5 kg (12.1 lbs),Keen Eye Big Pecks Hydration,086  153  127 
Swanna,581,Water Flying,White Bird Pokémon,1.3 m (4′03″),24.2 kg (53.4 lbs),Keen Eye Big Pecks Hydration,087  154  128 
Vanillite,582,Ice,Fresh Snow Pokémon,0.4 m (1′04″),5.7 kg (12.6 lbs),Ice Body Snow Cloak Weak Armor,088  255  085  255  332  072 
Vanillish,583,Ice,Icy Snow Pokémon,1.1 m (3′07″),41.0 kg (90.4 lbs),Ice Body Snow Cloak Weak Armor,089  256  086  256  333  073 
Vanilluxe,584,Ice,Snowstorm Pokémon,1.3 m (4′03″),57.5 kg (126.8 lbs),Ice Body Snow Warning Weak Armor,090  257  087  257  334  074 
Deerling,585,Normal Grass,Season Pokémon,0.6 m (2′00″),19.5 kg (43.0 lbs),Chlorophyll Sap Sipper Serene Grace,091  159 
Sawsbuck,586,Normal Grass,Season Pokémon,1.9 m (6′03″),92.5 kg (203.9 lbs),Chlorophyll Sap Sipper Serene Grace,092  160 
Emolga,587,Electric Flying,Sky Squirrel Pokémon,0.4 m (1′04″),5.0 kg (11.0 lbs),Static Motor Drive,093  144  086  274  364 
Karrablast,588,Bug,Clamping Pokémon,0.5 m (1′08″),5.9 kg (13.0 lbs),Swarm Shed Skin No Guard,094  155  022  273 
Escavalier,589,Bug Steel,Cavalry Pokémon,1.0 m (3′03″),33.0 kg (72.8 lbs),Swarm Shell Armor Overcoat,095  156  023  274 
Foongus,590,Grass Poison,Mushroom Pokémon,0.2 m (0′08″),1.0 kg (2.2 lbs),Effect Spore Regenerator,096  161  053 
Amoonguss,591,Grass Poison,Mushroom Pokémon,0.6 m (2′00″),10.5 kg (23.1 lbs),Effect Spore Regenerator,097  162  054 
Frillish,592,Water Ghost,Floating Pokémon,1.2 m (3′11″),33.0 kg (72.8 lbs),Water Absorb Cursed Body Damp,098  180  318  305 
Jellicent,593,Water Ghost,Floating Pokémon,2.2 m (7′03″),135.0 kg (297.6 lbs),Water Absorb Cursed Body Damp,099  181  319  306 
Alomomola,594,Water,Caring Pokémon,1.2 m (3′11″),31.6 kg (69.7 lbs),Healer Hydration Regenerator,100  182  149  157  191 
Joltik,595,Bug Electric,Attaching Pokémon,0.1 m (0′04″),0.6 kg (1.3 lbs),Compound Eyes Unnerve Swarm,101  173  064 
Galvantula,596,Bug Electric,EleSpider Pokémon,0.8 m (2′07″),14.3 kg (31.5 lbs),Compound Eyes Unnerve Swarm,102  174  065 
Ferroseed,597,Grass Steel,Thorn Seed Pokémon,0.6 m (2′00″),18.8 kg (41.4 lbs),Iron Barbs Anticipation,103  175  069  189 
Ferrothorn,598,Grass Steel,Thorn Pod Pokémon,1.0 m (3′03″),110.0 kg (242.5 lbs),Iron Barbs Anticipation,104  176  070  190 
Klink,599,Steel,Gear Pokémon,0.3 m (1′00″),21.0 kg (46.3 lbs),Plus Minus Clear Body,105  130  113 
Klang,600,Steel,Gear Pokémon,0.6 m (2′00″),51.0 kg (112.4 lbs),Plus Minus Clear Body,106  131  114 
Klinklang,601,Steel,Gear Pokémon,0.6 m (2′00″),81.0 kg (178.6 lbs),Plus Minus Clear Body,107  132  115 
Tynamo,602,Electric,EleFish Pokémon,0.2 m (0′08″),0.3 kg (0.7 lbs),Levitate,108  177 
Eelektrik,603,Electric,EleFish Pokémon,1.2 m (3′11″),22.0 kg (48.5 lbs),Levitate,109  178 
Eelektross,604,Electric,EleFish Pokémon,2.1 m (6′11″),80.5 kg (177.5 lbs),Levitate,110  179 
Elgyem,605,Psychic,Cerebral Pokémon,0.5 m (1′08″),9.0 kg (19.8 lbs),Telepathy Synchronize Analytic,111  188  275  277 
Beheeyem,606,Psychic,Cerebral Pokémon,1.0 m (3′03″),34.5 kg (76.1 lbs),Telepathy Synchronize Analytic,112  189  276  278 
Litwick,607,Ghost Fire,Candle Pokémon,0.3 m (1′00″),3.1 kg (6.8 lbs),Flash Fire Flame Body Infiltrator,113  190  065  287 
Lampent,608,Ghost Fire,Lamp Pokémon,0.6 m (2′00″),13.0 kg (28.7 lbs),Flash Fire Flame Body Infiltrator,114  191  066  288 
Chandelure,609,Ghost Fire,Luring Pokémon,1.0 m (3′03″),34.3 kg (75.6 lbs),Flash Fire Flame Body Infiltrator,115  192  067  289 
Axew,610,Dragon,Tusk Pokémon,0.6 m (2′00″),18.0 kg (39.7 lbs),Rivalry Mold Breaker Unnerve,116  183  148  324 
Fraxure,611,Dragon,Axe Jaw Pokémon,1.0 m (3′03″),36.0 kg (79.4 lbs),Rivalry Mold Breaker Unnerve,117  184  149  325 
Haxorus,612,Dragon,Axe Jaw Pokémon,1.8 m (5′11″),105.5 kg (232.6 lbs),Rivalry Mold Breaker Unnerve,118  185  150  326 
Cubchoo,613,Ice,Chill Pokémon,0.5 m (1′08″),8.5 kg (18.7 lbs),Snow Cloak Slush Rush Rattled,119  195  081  279 
Beartic,614,Ice,Freezing Pokémon,2.6 m (8′06″),260.0 kg (573.2 lbs),Snow Cloak Slush Rush Swift Swim,120  196  082  280 
Cryogonal,615,Ice,Crystallizing Pokémon,1.1 m (3′07″),148.0 kg (326.3 lbs),Levitate,121  197  111 
Shelmet,616,Bug,Snail Pokémon,0.4 m (1′04″),7.7 kg (17.0 lbs),Hydration Shell Armor Overcoat,122  157  024  275 
Accelgor,617,Bug,Shell Out Pokémon,0.8 m (2′07″),25.3 kg (55.8 lbs),Hydration Sticky Hold Unburden,123  158  025  276 
Stunfisk,618,Ground Electric Ground Steel,Trap Pokémon,0.7 m (2′04″),11.0 kg (24.3 lbs) 20.5 kg (45.2 lbs),Static Limber Sand Veil Mimicry,124  231  039  226  124  231  039  226 
Mienfoo,619,Fighting,Martial Arts Pokémon,0.9 m (2′11″),20.0 kg (44.1 lbs),Inner Focus Regenerator Reckless,125  219  003  359 
Mienshao,620,Fighting,Martial Arts Pokémon,1.4 m (4′07″),35.5 kg (78.3 lbs),Inner Focus Regenerator Reckless,126  220  004  360 
Druddigon,621,Dragon,Cave Pokémon,1.6 m (5′03″),139.0 kg (306.4 lbs),Rough Skin Sheer Force Mold Breaker,127  270  141  374 
Golett,622,Ground Ghost,Automaton Pokémon,1.0 m (3′03″),92.0 kg (202.8 lbs),Iron Fist Klutz No Guard,128  271  091  312  088 
Golurk,623,Ground Ghost,Automaton Pokémon,2.8 m (9′02″),330.0 kg (727.5 lbs),Iron Fist Klutz No Guard,129  272  092  313  089 
Pawniard,624,Dark Steel,Sharp Blade Pokémon,0.5 m (1′08″),10.2 kg (22.5 lbs),Defiant Inner Focus Pressure,130  223  048  337  246 
Bisharp,625,Dark Steel,Sword Blade Pokémon,1.6 m (5′03″),70.0 kg (154.3 lbs),Defiant Inner Focus Pressure,131  224  049  338  247 
Bouffalant,626,Normal,Bash Buffalo Pokémon,1.6 m (5′03″),94.6 kg (208.6 lbs),Reckless Sap Sipper Soundproof,132  269 
Rufflet,627,Normal Flying,Eaglet Pokémon,0.5 m (1′08″),10.5 kg (23.1 lbs),Keen Eye Sheer Force Hustle,133  109  075  089  281 
Braviary,628,Normal Flying,Valiant Pokémon,1.5 m (4′11″),41.0 kg (90.4 lbs),Keen Eye Sheer Force Defiant,134  110  076  090  282 
Vullaby,629,Dark Flying,Diapered Pokémon,0.5 m (1′08″),9.0 kg (19.8 lbs),Big Pecks Overcoat Weak Armor,135  111  077  091  283 
Mandibuzz,630,Dark Flying,Bone Vulture Pokémon,1.2 m (3′11″),39.5 kg (87.1 lbs),Big Pecks Overcoat Weak Armor,136  112  078  092  284 
Heatmor,631,Fire,Anteater Pokémon,1.4 m (4′07″),58.0 kg (127.9 lbs),Gluttony Flash Fire White Smoke,137  193  105  317 
Durant,632,Bug Steel,Iron Ant Pokémon,0.3 m (1′00″),33.0 kg (72.8 lbs),Swarm Hustle Truant,138  194  106  316 
Deino,633,Dark Dragon,Irate Pokémon,0.8 m (2′07″),17.3 kg (38.1 lbs),Hustle,139  273  142  386 
Zweilous,634,Dark Dragon,Hostile Pokémon,1.4 m (4′07″),50.0 kg (110.2 lbs),Hustle,140  274  143  387 
Hydreigon,635,Dark Dragon,Brutal Pokémon,1.8 m (5′11″),160.0 kg (352.7 lbs),Levitate,141  275  144  388 
Larvesta,636,Bug Fire,Torch Pokémon,1.1 m (3′07″),28.8 kg (63.5 lbs),Flame Body Swarm,142  171  203 
Volcarona,637,Bug Fire,Sun Pokémon,1.6 m (5′03″),46.0 kg (101.4 lbs),Flame Body Swarm,143  172  204 
Cobalion,638,Steel Fighting,Iron Will Pokémon,2.1 m (6′11″),250.0 kg (551.2 lbs),Justified,144  225 
Terrakion,639,Rock Fighting,Cavern Pokémon,1.9 m (6′03″),260.0 kg (573.2 lbs),Justified,145  226 
Virizion,640,Grass Fighting,Grassland Pokémon,2.0 m (6′07″),200.0 kg (440.9 lbs),Justified,146  227 
Tornadus,641,Flying,Cyclone Pokémon,1.5 m (4′11″) 1.4 m (4′07″),63.0 kg (138.9 lbs),Prankster Defiant Regenerator,147  198  147  198 
Thundurus,642,Electric Flying Electric Flying,Bolt Strike Pokémon,1.5 m (4′11″) 3.0 m (9′10″),61.0 kg (134.5 lbs),Prankster Defiant Volt Absorb,148  199  148  199 
Reshiram,643,Dragon Fire,Vast White Pokémon,3.2 m (10′06″),330.0 kg (727.5 lbs),Turboblaze,149  295 
Zekrom,644,Dragon Electric,Deep Black Pokémon,2.9 m (9′06″),345.0 kg (760.6 lbs),Teravolt,150  296 
Landorus,645,Ground Flying Ground Flying,Abundance Pokémon,1.5 m (4′11″) 1.3 m (4′03″),68.0 kg (149.9 lbs),Sand Force Sheer Force Intimidate,151  200  151  200 
Kyurem,646,Dragon Ice Dragon Ice Dragon Ice,Boundary Pokémon,3.0 m (9′10″) 3.3 m (10′10″) 3.6 m (11′10″),325.0 kg (716.5 lbs),Pressure Teravolt Turboblaze,152  297  152  297  152  297 
Keldeo,647,Water Fighting Water Fighting,Colt Pokémon,1.4 m (4′07″),48.5 kg (106.9 lbs),Justified,153  298  153  298 
Meloetta,648,Normal Psychic Normal Fighting,Melody Pokémon,0.6 m (2′00″),6.5 kg (14.3 lbs),Serene Grace,154  299  154  299 
Genesect,649,Bug Steel,Paleozoic Pokémon,1.5 m (4′11″),82.5 kg (181.9 lbs),Download,155  300 
Chespin,650,Grass,Spiny Nut Pokémon,0.4 m (1′04″),9.0 kg (19.8 lbs),Overgrow Bulletproof,001 
Quilladin,651,Grass,Spiny Armor Pokémon,0.7 m (2′04″),29.0 kg (63.9 lbs),Overgrow Bulletproof,002 
Chesnaught,652,Grass Fighting,Spiny Armor Pokémon,1.6 m (5′03″),90.0 kg (198.4 lbs),Overgrow Bulletproof,003 
Fennekin,653,Fire,Fox Pokémon,0.4 m (1′04″),9.4 kg (20.7 lbs),Blaze Magician,004 
Braixen,654,Fire,Fox Pokémon,1.0 m (3′03″),14.5 kg (32.0 lbs),Blaze Magician,005 
Delphox,655,Fire Psychic,Fox Pokémon,1.5 m (4′11″),39.0 kg (86.0 lbs),Blaze Magician,006 
Froakie,656,Water,Bubble Frog Pokémon,0.3 m (1′00″),7.0 kg (15.4 lbs),Torrent Protean,007 
Frogadier,657,Water,Bubble Frog Pokémon,0.6 m (2′00″),10.9 kg (24.0 lbs),Torrent Protean,008 
Greninja,658,Water Dark Water Dark,Ninja Pokémon,1.5 m (4′11″),40.0 kg (88.2 lbs),Torrent Protean Battle Bond,009 
Bunnelby,659,Normal,Digging Pokémon,0.4 m (1′04″),5.0 kg (11.0 lbs),Pickup Cheek Pouch Huge Power,010  048 
Diggersby,660,Normal Ground,Digging Pokémon,1.0 m (3′03″),42.4 kg (93.5 lbs),Pickup Cheek Pouch Huge Power,011  049 
Fletchling,661,Normal Flying,Tiny Robin Pokémon,0.3 m (1′00″),1.7 kg (3.7 lbs),Big Pecks Gale Wings,014  158  192 
Fletchinder,662,Fire Flying,Ember Pokémon,0.7 m (2′04″),16.0 kg (35.3 lbs),Flame Body Gale Wings,015  159  193 
Talonflame,663,Fire Flying,Scorching Pokémon,1.2 m (3′11″),24.5 kg (54.0 lbs),Flame Body Gale Wings,016  160  194 
Scatterbug,664,Bug,Scatterdust Pokémon,0.3 m (1′00″),2.5 kg (5.5 lbs),Shield Dust Compound Eyes Friend Guard,020 
Spewpa,665,Bug,Scatterdust Pokémon,0.3 m (1′00″),8.4 kg (18.5 lbs),Shed Skin Friend Guard,021 
Vivillon,666,Bug Flying,Scale Pokémon,1.2 m (3′11″),17.0 kg (37.5 lbs),Shield Dust Compound Eyes Friend Guard,022 
Litleo,667,Fire Normal,Lion Cub Pokémon,0.6 m (2′00″),13.5 kg (29.8 lbs),Rivalry Unnerve Moxie,057  370 
Pyroar,668,Fire Normal,Royal Pokémon,1.5 m (4′11″),81.5 kg (179.7 lbs),Rivalry Unnerve Moxie,058  371 
Flabébé,669,Fairy,Single Bloom Pokémon,0.1 m (0′04″),0.1 kg (0.2 lbs),Flower Veil Symbiosis,068  100 
Floette,670,Fairy,Single Bloom Pokémon,0.2 m (0′08″),0.9 kg (2.0 lbs),Flower Veil Symbiosis,069  101 
Florges,671,Fairy,Garden Pokémon,1.1 m (3′07″),10.0 kg (22.0 lbs),Flower Veil Symbiosis,070  102 
Skiddo,672,Grass,Mount Pokémon,0.9 m (2′11″),31.0 kg (68.3 lbs),Sap Sipper Grass Pelt,089 
Gogoat,673,Grass,Mount Pokémon,1.7 m (5′07″),91.0 kg (200.6 lbs),Sap Sipper Grass Pelt,090 
Pancham,674,Fighting,Playful Pokémon,0.6 m (2′00″),8.0 kg (17.6 lbs),Iron Fist Mold Breaker Scrappy,091  220  284  111 
Pangoro,675,Fighting Dark,Daunting Pokémon,2.1 m (6′11″),136.0 kg (299.8 lbs),Iron Fist Mold Breaker Scrappy,092  221  285  112 
Furfrou,676,Normal,Poodle Pokémon,1.2 m (3′11″),28.0 kg (61.7 lbs),Fur Coat,093  030 
Espurr,677,Psychic,Restraint Pokémon,0.3 m (1′00″),3.5 kg (7.7 lbs),Keen Eye Infiltrator Own Tempo,114  208 
Meowstic,678,Psychic,Constraint Pokémon,0.6 m (2′00″),8.5 kg (18.7 lbs),Keen Eye Infiltrator Prankster Keen Eye Infiltrator Competitive,115  209  115  209 
Honedge,679,Steel Ghost,Sword Pokémon,0.8 m (2′07″),2.0 kg (4.4 lbs),No Guard,117  330 
Doublade,680,Steel Ghost,Sword Pokémon,0.8 m (2′07″),4.5 kg (9.9 lbs),No Guard,118  331 
Aegislash,681,Steel Ghost Steel Ghost,Royal Sword Pokémon,1.7 m (5′07″),53.0 kg (116.8 lbs),Stance Change,119  332  119  332 
Spritzee,682,Fairy,Perfume Pokémon,0.2 m (0′08″),0.5 kg (1.1 lbs),Healer Aroma Veil,129  212 
Aromatisse,683,Fairy,Fragrance Pokémon,0.8 m (2′07″),15.5 kg (34.2 lbs),Healer Aroma Veil,130  213 
Swirlix,684,Fairy,Cotton Candy Pokémon,0.4 m (1′04″),3.5 kg (7.7 lbs),Sweet Veil Unburden,131  210 
Slurpuff,685,Fairy,Meringue Pokémon,0.8 m (2′07″),5.0 kg (11.0 lbs),Sweet Veil Unburden,132  211 
Inkay,686,Dark Psychic,Revolving Pokémon,0.4 m (1′04″),3.5 kg (7.7 lbs),Contrary Suction Cups Infiltrator,010  026  290 
Malamar,687,Dark Psychic,Overturning Pokémon,1.5 m (4′11″),47.0 kg (103.6 lbs),Contrary Suction Cups Infiltrator,011  027  291 
Binacle,688,Rock Water,Two-Handed Pokémon,0.5 m (1′08″),31.0 kg (68.3 lbs),Sniper Tough Claws Pickpocket,021  234 
Barbaracle,689,Rock Water,Collective Pokémon,1.3 m (4′03″),96.0 kg (211.6 lbs),Sniper Tough Claws Pickpocket,022  235 
Skrelp,690,Poison Water,Mock Kelp Pokémon,0.5 m (1′08″),7.3 kg (16.1 lbs),Poison Point Poison Touch Adaptability,030  347 
Dragalge,691,Poison Dragon,Mock Kelp Pokémon,1.8 m (5′11″),81.5 kg (179.7 lbs),Poison Point Poison Touch Adaptability,031  348 
Clauncher,692,Water,Water Gun Pokémon,0.5 m (1′08″),8.3 kg (18.3 lbs),Mega Launcher,032  349 
Clawitzer,693,Water,Howitzer Pokémon,1.3 m (4′03″),35.3 kg (77.8 lbs),Mega Launcher,033  350 
Helioptile,694,Electric Normal,Generator Pokémon,0.5 m (1′08″),6.0 kg (13.2 lbs),Dry Skin Sand Veil Solar Power,046  318 
Heliolisk,695,Electric Normal,Generator Pokémon,1.0 m (3′03″),21.0 kg (46.3 lbs),Dry Skin Sand Veil Solar Power,047  319 
Tyrunt,696,Rock Dragon,Royal Heir Pokémon,0.8 m (2′07″),26.0 kg (57.3 lbs),Strong Jaw Sturdy,064  243 
Tyrantrum,697,Rock Dragon,Despot Pokémon,2.5 m (8′02″),270.0 kg (595.2 lbs),Strong Jaw Rock Head,065  244 
Amaura,698,Rock Ice,Tundra Pokémon,1.3 m (4′03″),25.2 kg (55.6 lbs),Refrigerate Snow Warning,066  245 
Aurorus,699,Rock Ice,Tundra Pokémon,2.7 m (8′10″),225.0 kg (496.0 lbs),Refrigerate Snow Warning,067  246 
Sylveon,700,Fairy,Intertwining Pokémon,1.0 m (3′03″),23.5 kg (51.8 lbs),Cute Charm Pixilate,085  131  161  204 
Hawlucha,701,Fighting Flying,Wrestling Pokémon,0.8 m (2′07″),21.5 kg (47.4 lbs),Limber Unburden Mold Breaker,089  096  320 
Dedenne,702,Electric Fairy,Antenna Pokémon,0.2 m (0′08″),2.2 kg (4.9 lbs),Cheek Pouch Pickup Plus,110  291 
